day,breakfast,launch
1,,
2,,
3,"MANZANA TROZADA + MIEL , YOGURT LIQUIDO BATIDO FRUTILLA.","AGUA , ENSALADA TOMATE , FIDEOS , HUEVO REVUELTO (H) , MANDARINAS."
4,"LECHE SABOR FRUTILLA O VAINILLA , PAN BLANCO CON HUEVO EN PASTA.","AGUA , ARROZ INTEGRAL PERLA , ENSALADA POROTOS VERDES ZANAHORIA , MANZANA , TRUTRO DE AVE ASADO (CT)."
5,"PAN INTEGRAL CON QUESILLO , TE.","AGUA , CROQUETA DE JUREL (PJ) , ENSALADA REPOLLO + LIMON NATURAL , FIDEOS INTEGRALES GUISADOS , YOGURT CON FRUTA (PERA)."
6,BATIDO LACTEO.,"AGUA , ENSALADA TOMATE CHOCLO , GARBANZOS GUISADOS (L) , MACEDONIA (MAN-PE-PLA)."
7,"LECHE SABOR CHOCOLATE , PAN INTEGRAL CON MIEL.","AGUA , CHORRILLANA , ENSALADA REPOLLO + LIMON NATURAL , MANZANA."
8,,
9,,
10,,"AGUA , BUDIN DE ATUN (PA) , ENSALADA TOMATE , FIDEOS , MANZANA."
11,"PERA TROZADA + MIEL , YOGURT LIQUIDO BATIDO VAINILLA.","AGUA , AVE AL JUGO , ENSALADA REPOLLO + LIMON NATURAL , GELATINA CON YOGURT , PAPAS ASADAS."
12,"CAFE DESCAFEINADO , PAN INTEGRAL CON HUEVO REVUELTO.","AGUA , ENSALADA ZAPALLO ITALIANO ZANAHORIA , LENTEJAS GUISADAS (L) , MACEDONIA (MAN-MAND-PLA) CON MIEL."
13,"LECHE BLANCA , PAN BLANCO CON QUESO LAMINADO.","AGUA , ARROZ ARABE , ENSALADA TOMATE CEBOLLA , LOMITO DE CERDO , MANZANA."
14,"LECHE SABOR FRUTILLA O VAINILLA , PAN INTEGRAL CON HUEVO EN PASTA.",
15,,
16,,
17,"MANZANA TROZADA + MIEL , YOGURT LIQUIDO BATIDO DAMASCO.","AGUA , ARROZ CON LECHE CASERO , ENSALADA REPOLLO + LIMON NATURAL , FIDEOS TRICOLOR , HUEVO REVUELTO (H)."
18,"LECHE SABOR CHOCOLATE , PAN BLANCO CON QUESO LAMINADO.","AGUA , ENSALADA TOMATE CEBOLLA , MANZANA , PASTEL DEL MAR (M)."
19,BATIDO LACTEO.,"AGUA , ENSALADA ZANAHORIA POROTOS VERDES , MACEDONIA (MAN-MAND-PLA) CON MIEL , POROTOS GUISADOS (L)."
20,"GRANOLA CON FRUTOS SECOS , YOGURT LIQUIDO BATIDO VAINILLA.","AGUA , ARROZ INTEGRAL GRANEADO , BUDIN DE ATUN (PA) , ENSALADA TOMATE , MANDARINAS."
21,"PAN INTEGRAL CON HUEVO REVUELTO , TE.","AGUA , ENSALADA REPOLLO + LIMON NATURAL , FIDEOS GUISADOS , MANZANA , TRUTRO DE AVE ASADO (CT)."
22,,
23,,
24,"AVENA , YOGURT LIQUIDO BATIDO VAINILLA.","AGUA , ARROZ GRANEADO , ENSALADA ZANAHORIA POROTOS VERDES , FILETE DE PESCADO AL LIMON (PF) , MANZANA."
25,"PAN INTEGRAL CON HUEVO REVUELTO , TE.","AGUA , CHARQUICAN DE COCHAYUYO (CCAVLG) , ENSALADA TOMATE , YOGURT CON FRUTA (PERA)."
26,"LECHE SABOR CHOCOLATE , PAN INTEGRAL CON QUESILLO.","AGUA , APANADOS DE MERLUZA (PAP) , ENSALADA REPOLLO + LIMON NATURAL , FIDEOS INTEGRALES GUISADOS , MANZANA."
27,"MANZANA TROZADA + MIEL , YOGURT LIQUIDO BATIDO DAMASCO.","AGUA , ENSALADA ZANAHORIA CHOCLO , GARBANZOS GUISADOS (L) , MACEDONIA (MAN-PE-PLA) CON MIEL."
28,"AVENA INDIVIDUAL , LECHE SABOR INDIVIDUAL.","FRUTOS SECOS + SANDWICH CHURRASCO TOMATE , NECTAR INDIVIDUAL , PURE DE FRUTA INDIVIDUAL MIXTO."
29,,
30,,
31,,